"","Grade","Race","Sex","indeg","outdeg","totdeg","between"
"144","11","Hisp","F","1","1","1","0"
"145","8","Hisp","M","0","0","0","0"
"146","9","Other","F","1","1","1","0"
"147","7","Hisp","M","1","1","1","0"
"148","10","Hisp","M","1","1","1","0"
"149","9","NatAm","M","3","3","3","4149.94761904762"
"150","7","Hisp","F","4","4","4","1571"
"151","7","Hisp","F","2","2","2","0"
"152","7","Hisp","F","0","0","0","0"
"153","9","NatAm","F","3","3","3","386.316666666667"
"154","10","Other","F","0","0","0","0"
"155","7","NatAm","M","1","1","1","0"
"156","7","White","F","1","1","1","0"
"157","8","NatAm","M","4","4","4","95.1380952380954"
"158","7","Hisp","F","4","4","4","1011"
"159","9","Other","F","0","0","0","0"
"160","11","Black","F","8","8","8","3782.05238095238"
"161","7","Hisp","F","3","3","3","3270.88571428571"
"162","8","NatAm","M","0","0","0","0"
"163","10","Hisp","M","0","0","0","0"
"164","9","NatAm","M","3","3","3","0"
"165","9","Hisp","F","4","4","4","4885.94761904762"
"166","11","White","M","1","1","1","0"
"167","8","Hisp","M","1","1","1","0"
"168","11","NatAm","M","0","0","0","0"
"169","9","Hisp","M","0","0","0","0"
"170","9","NatAm","F","1","1","1","0"
"171","8","NatAm","M","0","0","0","0"
"172","8","White","M","0","0","0","0"
"173","9","NatAm","M","4","4","4","4"
"174","7","Hisp","F","1","1","1","0"
"175","7","NatAm","F","0","0","0","0"
"176","12","Hisp","F","1","1","1","0"
"177","12","NatAm","F","0","0","0","0"
"178","9","Hisp","F","3","3","3","3861.94761904762"
"179","7","Hisp","M","4","4","4","169.033333333333"
"180","7","NatAm","F","1","1","1","0"
"181","9","Hisp","M","1","1","1","0"
"182","12","Hisp","F","2","2","2","2"
"183","7","Hisp","F","3","3","3","51.8333333333333"
"184","7","NatAm","M","0","0","0","0"
"185","7","Hisp","M","5","5","5","1150"
"186","10","Hisp","M","1","1","1","0"
"187","10","Hisp","M","4","4","4","1596"
"188","8","Hisp","F","0","0","0","0"
"189","8","NatAm","F","7","7","7","2117.2"
"190","7","Hisp","F","4","4","4","316.519047619048"
"191","10","NatAm","M","2","2","2","0"
"192","9","Hisp","F","2","2","2","2"
"193","8","NatAm","F","1","1","1","0"
"194","10","White","F","3","3","3","236"
"195","7","Hisp","F","3","3","3","336"
"196","7","Hisp","F","2","2","2","4"
"197","9","Hisp","M","0","0","0","0"
"198","7","Hisp","M","1","1","1","0"
"199","9","Hisp","F","1","1","1","0"
"200","10","NatAm","M","1","1","1","0"
"201","12","NatAm","M","2","2","2","0"
"202","11","Hisp","F","1","1","1","0"
"203","10","NatAm","F","0","0","0","0"
"204","10","Black","M","3","3","3","470"
"205","9","NatAm","M","1","1","1","0"
